Generating SQLite file profile_2d_fft.sqlite from profile_2d_fft.nsys-rep
Processing [profile_2d_fft.sqlite] with [/opt/nvidia/nsight-systems/2025.6.3/host-linux-x64/reports/cuda_api_sum.py]... 

 ** CUDA API Summary (cuda_api_sum):

 Time (%)  Total Time (ns)  Num Calls    Avg (ns)      Med (ns)    Min (ns)   Max (ns)   StdDev (ns)             Name           
 --------  ---------------  ---------  ------------  ------------  --------  ----------  ------------  -------------------------
     35.8    3,342,513,043    190,741      17,523.8      13,032.0     1,469     291,502      17,690.5  cudaStreamSynchronize    
     30.4    2,842,464,097  1,311,745       2,166.9       2,120.0     1,819   1,208,653       2,561.4  cudaLaunchKernel         
     21.3    1,992,272,201     54,842      36,327.5      33,737.0     3,128     176,683       4,184.5  cudaMemcpy               
      8.6      799,465,179    368,485       2,169.6       2,140.0     1,588   1,073,473       3,437.8  cudaMemcpyAsync          
      1.5      137,344,057     70,206       1,956.3       1,910.0     1,696   1,035,831       3,913.6  cuLaunchKernel           
      1.0       90,776,180     54,821       1,655.9       1,622.0     1,348      83,711         462.4  cudaMemsetAsync          
      0.8       73,472,330          2  36,736,165.0  36,736,165.0     1,662  73,470,668  51,950,432.3  cudaStreamCreateWithFlags
      0.3       23,592,264     52,641         448.2         447.0       369       4,707          61.7  cudaStreamWaitEvent      
      0.2       21,649,228    273,785          79.1          78.0        63       5,054          27.0  cuKernelGetName          
      0.2       15,513,410     35,096         442.0         417.0       374       6,886         100.3  cudaEventRecord          
      0.0        2,351,670         75      31,355.6      36,860.0     1,593     175,516      31,280.4  cudaFree                 
      0.0        1,900,388         75      25,338.5      33,030.0     1,274     121,900      26,107.8  cudaMalloc               
      0.0        1,387,880          6     231,313.3     212,953.5   133,833     361,659      91,980.9  cuModuleLoadData         
      0.0          777,308         29      26,803.7       4,274.0     3,143     615,014     113,218.4  cudaMallocHost           
      0.0          610,977          7      87,282.4       3,931.0     3,063     563,355     210,133.6  cuMemcpyHtoD_v2          
      0.0          384,139         29      13,246.2       3,333.0     2,560     251,058      45,806.2  cudaFreeHost             
      0.0          214,049          5      42,809.8      32,667.0    28,871      67,165      17,206.2  cuLibraryLoadData        
      0.0          123,952          6      20,658.7      19,945.5    12,807      31,889       7,104.4  cuModuleUnload           
      0.0           73,709        419         175.9         118.0        72       2,380         160.2  cuGetProcAddress_v2      
      0.0           71,794          1      71,794.0      71,794.0    71,794      71,794           0.0  cuMemAlloc_v2            
      0.0           64,058          1      64,058.0      64,058.0    64,058      64,058           0.0  cudaEventSynchronize     
      0.0           48,944          1      48,944.0      48,944.0    48,944      48,944           0.0  cudaDeviceSynchronize    
      0.0           43,072          4      10,768.0         284.5        96      42,407      21,093.1  cuMemFree_v2             
      0.0           37,647          3      12,549.0      14,576.0     6,919      16,152       4,939.0  cuMemGetInfo_v2          
      0.0           29,952          2      14,976.0      14,976.0     4,104      25,848      15,375.3  cudaMemset               
      0.0            8,603          2       4,301.5       4,301.5     1,805       6,798       3,530.6  cudaStreamDestroy        
      0.0            3,873          2       1,936.5       1,936.5       313       3,560       2,296.0  cudaEventCreate          
      0.0            3,508          2       1,754.0       1,754.0     1,208       2,300         772.2  cuInit                   
      0.0            2,573          2       1,286.5       1,286.5       257       2,316       1,455.9  cudaEventCreateWithFlags 
      0.0            2,385          9         265.0         275.0       155         477          95.6  cuLibraryGetKernel       
      0.0            2,306          2       1,153.0       1,153.0       116       2,190       1,466.5  cuModuleGetLoadingMode   
      0.0            1,599          2         799.5         799.5       428       1,171         525.4  cudaEventDestroy         
      0.0              786          3         262.0         326.0        97         363         144.1  cuCtxSetCurrent          

Processing [profile_2d_fft.sqlite] with [/opt/nvidia/nsight-systems/2025.6.3/host-linux-x64/reports/cuda_gpu_kern_sum.py]... 

 ** CUDA GPU Kernel Summary (cuda_gpu_kern_sum):

 Time (%)  Total Time (ns)  Instances  Avg (ns)  Med (ns)  Min (ns)  Max (ns)  StdDev (ns)                                                  Name                                                
 --------  ---------------  ---------  --------  --------  --------  --------  -----------  ----------------------------------------------------------------------------------------------------
     16.9      889,821,102     54,821  16,231.4  16,064.0    12,864    25,024      2,702.7  multi_dot_kernel(const double *, FusedPtrBundle, double *, int, int)                                
     15.4      810,829,380    383,584   2,113.8   2,048.0     1,952     5,824        250.9  void sundials::cuda::impl::linearSumKernel<double, int>(T1, const T1 *, T1, const T1 *, T1 *, T2)   
     10.4      548,848,038     35,103  15,635.4  15,648.0    15,456    16,160         24.9  void regular_fft<(unsigned int)256, EPT<(unsigned int)16>, (unsigned int)8, (unsigned int)4, (paddi…
      8.9      472,092,651     54,815   8,612.5   8,608.0     8,544     8,737         24.1  jtv_kernel(const double *, const double *, double *, int, int, int)                                 
      8.0      420,893,980    257,163   1,636.7   1,632.0     1,568     3,200         34.1  void sundials::cuda::impl::scaleKernel<double, int>(T1, const T1 *, T1 *, T2)                       
      6.7      351,085,299    126,720   2,770.6   2,784.0     2,720     2,817         17.3  void sundials::cuda::impl::dotProdKernel<double, int, sundials::cuda::impl::GridReducerAtomic>(cons…
      5.5      289,838,960     71,881   4,032.2   4,000.0     3,904     6,337        172.1  void sundials::cuda::impl::divKernel<double, int>(const T1 *, const T1 *, T1 *, T2)                 
      3.9      206,370,290     71,893   2,870.5   2,848.0     2,720     3,072         61.5  apply_P_kernel(const double *, const double *, double *, int)                                       
      3.8      199,789,036     17,547  11,385.9  11,392.0    11,328    11,552         23.2  void vector_fft_c2r<(unsigned int)256, EPT<(unsigned int)8>, (unsigned int)2, (unsigned int)16, (pa…
      3.7      197,073,941     17,556  11,225.4  11,232.0     4,864    26,880        187.8  void vector_fft_r2c<(unsigned int)256, EPT<(unsigned int)8>, (unsigned int)2, (unsigned int)20, (pa…
      3.5      182,504,710     51,022   3,577.0   3,584.0     3,488     3,744         29.6  void sundials::cuda::impl::wL2NormSquareKernel<double, int, sundials::cuda::impl::GridReducerAtomic…
      3.0      158,247,037     17,547   9,018.5   9,024.0     8,896     9,344         55.6  f_kernel_unified_polycrystal_tiled(const double *, const double *, const double *, const double *, …
      2.6      137,113,608     71,893   1,907.2   1,920.0     1,824     2,016         27.7  void sundials::cuda::impl::prodKernel<double, int>(const T1 *, const T1 *, T1 *, T2)                
      1.4       74,399,017     17,547   4,240.0   4,224.0     4,160     4,608         30.2  multiply_kernel(const double2 *, const double2 *, const double2 *, const double2 *, const double2 *…
      1.3       70,882,253     17,547   4,039.6   3,648.0     3,552     7,136        770.9  normalize_m_kernel(double *, int)                                                                   
      1.1       60,020,057     45,025   1,333.0   1,344.0     1,280     1,920         33.8  void sundials::cuda::impl::setConstKernel<double, int>(T1, T1 *, T2)                                
      1.1       59,862,636      4,521  13,241.0  13,248.0    13,184    13,376         25.8  build_J_kernel(const double *, const double *, double *, double, double, double, double, int, int, …
      0.6       33,414,322      8,891   3,758.2   3,616.0     2,048     7,553        943.2  void sundials::cuda::impl::scaleAddMultiKernel<double, int>(int, T1 *, T1 *, T1 **, T1 **, T2)      
      0.6       31,144,694     17,547   1,774.9   1,760.0     1,664     2,336         57.0  gather_real_kernel_windowed(const double *, const double *, double *, int)                          
      0.6       30,434,181     17,547   1,734.4   1,728.0     1,664     1,792         17.3  scatter_real_kernel(const double *, double *, double, int, int, int, int, int)                      
      0.5       25,654,601      8,837   2,903.1   2,912.0     2,816     3,008         29.6  void sundials::cuda::impl::invKernel<double, int>(const T1 *, T1 *, T2)                             
      0.3       15,063,283      8,838   1,704.4   1,696.0     1,632     1,792         24.0  void sundials::cuda::impl::absKernel<double, int>(const T1 *, T1 *, T2)                             
      0.2        9,625,917      4,104   2,345.5   2,592.0     1,792     5,088        465.9  void sundials::cuda::impl::scaleVectorArrayKernel<double, int>(int, T1 *, T1 **, T1 **, T2)         
      0.0            3,648          1   3,648.0   3,648.0     3,648     3,648          0.0  void sundials::cuda::impl::maxNormKernel<double, int, sundials::cuda::impl::GridReducerAtomic>(cons…
      0.0            2,944          1   2,944.0   2,944.0     2,944     2,944          0.0  void sundials::cuda::impl::findMinKernel<double, int, sundials::cuda::impl::GridReducerAtomic>(T1, …

Processing [profile_2d_fft.sqlite] with [/opt/nvidia/nsight-systems/2025.6.3/host-linux-x64/reports/cuda_gpu_mem_time_sum.py]... 

 ** CUDA GPU MemOps Summary (by Time) (cuda_gpu_mem_time_sum):

 Time (%)  Total Time (ns)   Count   Avg (ns)  Med (ns)  Min (ns)  Max (ns)  StdDev (ns)            Operation           
 --------  ---------------  -------  --------  --------  --------  --------  -----------  ------------------------------
     67.0      218,278,578  232,565     938.6     928.0       480     4,096         42.4  [CUDA memcpy Device-to-Host]  
     26.3       85,793,374  190,760     449.7     384.0       352   445,665      1,094.2  [CUDA memcpy Host-to-Device]  
      6.7       21,728,288   54,823     396.3     384.0       384     3,200         27.1  [CUDA memset]                 
      0.0           11,776        9   1,308.4   1,312.0     1,280     1,344         19.2  [CUDA memcpy Device-to-Device]

