Generating SQLite file profile_2d_fft.sqlite from profile_2d_fft.nsys-rep
Processing [profile_2d_fft.sqlite] with [/opt/nvidia/nsight-systems/2025.6.3/host-linux-x64/reports/cuda_api_sum.py]... 

 ** CUDA API Summary (cuda_api_sum):

 Time (%)  Total Time (ns)  Num Calls   Avg (ns)    Med (ns)   Min (ns)   Max (ns)    StdDev (ns)            Name         
 --------  ---------------  ---------  -----------  ---------  --------  -----------  ------------  ----------------------
     92.7  264,901,286,502  1,414,487    187,277.3   95,469.0     1,537    2,549,356     361,514.3  cudaStreamSynchronize 
      5.1   14,593,952,602  7,281,232      2,004.3    1,944.0     1,580    1,760,037       4,718.0  cudaLaunchKernel      
      1.8    5,040,199,252  2,760,731      1,825.7    1,787.0     1,279    1,434,902       5,177.2  cudaMemcpyAsync       
      0.3      945,362,783    468,582      2,017.5    1,984.0     1,652    1,383,497       4,866.4  cuLaunchKernel        
      0.0      128,371,519         72  1,782,937.8   34,197.0     2,458  126,042,698  14,850,443.1  cudaMalloc            
      0.0       64,570,297  1,180,364         54.7       50.0        37        6,597          52.9  cuKernelGetName       
      0.0        6,674,464         72     92,700.9  106,293.0     2,587      375,786      80,978.4  cudaFree              
      0.0        6,230,709         19    327,932.1  266,932.0     3,758    2,158,343     570,254.4  cudaMemcpy            
      0.0        3,422,945          6    570,490.8  268,764.0   166,396    2,257,220     827,865.8  cuModuleLoadData      
      0.0        1,325,292         28     47,331.9    4,185.5     2,984      383,183      89,444.1  cudaFreeHost          
      0.0          864,477         28     30,874.2    4,862.0     3,533      661,614     123,769.0  cudaMallocHost        
      0.0          560,981          7     80,140.1    3,848.0     2,726      515,233     192,090.0  cuMemcpyHtoD_v2       
      0.0          165,084          4     41,271.0   42,479.0    23,152       56,974      14,146.0  cuLibraryLoadData     
      0.0          138,482          6     23,080.3   21,555.0    14,308       35,697       8,520.5  cuModuleUnload        
      0.0          120,631          1    120,631.0  120,631.0   120,631      120,631           0.0  cudaDeviceSynchronize 
      0.0           91,328          1     91,328.0   91,328.0    91,328       91,328           0.0  cudaEventSynchronize  
      0.0           69,431        419        165.7      112.0        59        2,922         172.4  cuGetProcAddress_v2   
      0.0           56,412          1     56,412.0   56,412.0    56,412       56,412           0.0  cuMemAlloc_v2         
      0.0           54,465          3     18,155.0   17,024.0     7,630       29,811      11,133.7  cuMemGetInfo_v2       
      0.0           37,077          4      9,269.3      221.0        53       36,582      18,208.9  cuMemFree_v2          
      0.0           30,772          2     15,386.0   15,386.0     6,622       24,150      12,394.2  cudaMemset            
      0.0           16,117          2      8,058.5    8,058.5     7,707        8,410         497.1  cudaEventRecord       
      0.0            4,256          2      2,128.0    2,128.0     1,342        2,914       1,111.6  cuInit                
      0.0            3,145          2      1,572.5    1,572.5       338        2,807       1,745.8  cudaEventCreate       
      0.0            1,629          8        203.6      209.5       122          234          35.9  cuLibraryGetKernel    
      0.0            1,065          2        532.5      532.5       204          861         464.6  cuModuleGetLoadingMode
      0.0              825          3        275.0      273.0       100          452         176.0  cuCtxSetCurrent       

Processing [profile_2d_fft.sqlite] with [/opt/nvidia/nsight-systems/2025.6.3/host-linux-x64/reports/cuda_gpu_kern_sum.py]... 

 ** CUDA GPU Kernel Summary (cuda_gpu_kern_sum):

 Time (%)  Total Time (ns)  Instances  Avg (ns)  Med (ns)  Min (ns)  Max (ns)  StdDev (ns)                                                  Name                                                
 --------  ---------------  ---------  --------  --------  --------  --------  -----------  ----------------------------------------------------------------------------------------------------
     16.7   14,322,028,282  2,394,669   5,980.8   4,384.0     4,096    28,288      3,629.8  void sundials::cuda::impl::linearSumKernel<double, int>(T1, const T1 *, T1, const T1 *, T1 *, T2)   
     10.9    9,318,002,455    237,048  39,308.5  38,720.0    38,528    50,913      1,421.2  jtv_kernel(const double *, const double *, const double *, double *, int, int, int)                 
      9.9    8,481,465,292    234,291  36,200.6  36,193.0    33,472    48,577        122.4  void regular_fft<(unsigned int)512, EPT<(unsigned int)8>, (unsigned int)8, (unsigned int)2, (paddin…
      8.3    7,083,732,671    951,606   7,444.0   7,168.0     6,912    32,224      1,167.6  void sundials::cuda::impl::dotProdKernel<double, int, sundials::cuda::impl::GridReducerAtomic>(cons…
      8.2    7,029,480,176    354,184  19,847.0   8,224.0     7,744    63,329     15,844.5  apply_P_kernel(const double *, const double *, const double *, double *, int)                       
      5.8    4,952,150,466  1,144,437   4,327.1   3,744.0     3,456    23,936      1,971.3  void sundials::cuda::impl::scaleKernel<double, int>(T1, const T1 *, T1 *, T2)                       
      5.6    4,808,026,645    117,141  41,044.8  41,025.0    40,640    47,649         60.0  void vector_fft_c2r<(unsigned int)512, EPT<(unsigned int)8>, (unsigned int)1, (unsigned int)18, (pa…
      5.6    4,784,495,361     68,214  70,139.5  75,841.0     4,800   133,888     13,901.4  void sundials::cuda::impl::scaleAddMultiKernel<double, int>(int, T1 *, T1 *, T1 **, T1 **, T2)      
      5.5    4,744,831,984    117,150  40,502.2  40,512.0    15,552    47,808        220.4  void vector_fft_r2c<(unsigned int)512, EPT<(unsigned int)8>, (unsigned int)1, (unsigned int)18, (pa…
      4.9    4,173,085,137    354,185  11,782.2  11,584.0    11,136    24,544        681.6  void sundials::cuda::impl::divKernel<double, int>(const T1 *, const T1 *, T1 *, T2)                 
      4.7    4,024,327,761    394,636  10,197.6   9,472.0     9,120    31,361      1,361.2  void sundials::cuda::impl::wL2NormSquareKernel<double, int, sundials::cuda::impl::GridReducerAtomic…
      3.8    3,295,044,245    117,141  28,128.9  28,000.0    13,728    33,793        446.6  multiply_kernel(const double2 *, const double2 *, const double2 *, const double2 *, const double2 *…
      3.3    2,806,998,525    117,141  23,962.6  24,000.0    23,136    38,880        290.2  f_kernel_unified_soa_periodic(const double *, const double *, const double *, double *, int, int, i…
      2.0    1,688,038,081    354,184   4,766.0   4,224.0     4,096    25,600      1,980.2  void sundials::cuda::impl::prodKernel<double, int>(const T1 *, const T1 *, T1 *, T2)                
      1.5    1,256,941,468    117,141  10,730.2  10,784.0    10,304    16,768        179.3  normalize_m_kernel(double *, int)                                                                   
      1.1      905,494,851    302,490   2,993.5   2,944.0     2,816     3,520        120.7  void sundials::cuda::impl::setConstKernel<double, int>(T1, T1 *, T2)                                
      0.6      521,494,961     68,209   7,645.5   7,744.0     7,232     8,576        215.7  void sundials::cuda::impl::invKernel<double, int>(const T1 *, T1 *, T2)                             
      0.5      467,012,095    117,141   3,986.8   3,968.0     3,872    14,112         56.4  scatter_real_kernel(const double *, double *, double, int, int, int, int, int)                      
      0.5      454,980,625    117,141   3,884.0   3,872.0     3,776    13,760         57.4  gather_real_kernel(const double *, double *, int)                                                   
      0.4      324,279,076     68,210   4,754.1   4,352.0     3,488    20,160      1,369.0  void sundials::cuda::impl::absKernel<double, int>(const T1 *, T1 *, T2)                             
      0.2      182,796,363      3,427  53,340.1  53,312.0    52,833    53,920        168.1  build_J_kernel(const double *, const double *, double *, double, double, double, double, int, int, …
      0.0          332,515         26  12,789.0  12,304.0     4,064    26,784      3,613.9  void sundials::cuda::impl::scaleVectorArrayKernel<double, int>(int, T1 *, T1 **, T1 **, T2)         
      0.0           15,840          1  15,840.0  15,840.0    15,840    15,840          0.0  void sundials::cuda::impl::findMinKernel<double, int, sundials::cuda::impl::GridReducerAtomic>(T1, …
      0.0            7,488          1   7,488.0   7,488.0     7,488     7,488          0.0  void sundials::cuda::impl::maxNormKernel<double, int, sundials::cuda::impl::GridReducerAtomic>(cons…

Processing [profile_2d_fft.sqlite] with [/opt/nvidia/nsight-systems/2025.6.3/host-linux-x64/reports/cuda_gpu_mem_time_sum.py]... 

 ** CUDA GPU MemOps Summary (by Time) (cuda_gpu_mem_time_sum):

 Time (%)  Total Time (ns)    Count    Avg (ns)  Med (ns)  Min (ns)  Max (ns)  StdDev (ns)            Operation           
 --------  ---------------  ---------  --------  --------  --------  --------  -----------  ------------------------------
     54.7    1,542,223,630  1,346,245   1,145.6     864.0       480   293,506        697.6  [CUDA memcpy Device-to-Host]  
     45.3    1,277,476,648  1,414,503     903.1     416.0       352   457,570      1,093.6  [CUDA memcpy Host-to-Device]  
      0.0           23,584          2  11,792.0  11,792.0     5,440    18,144      8,983.1  [CUDA memset]                 
      0.0           15,809          9   1,756.6   1,760.0     1,728     1,793         19.5  [CUDA memcpy Device-to-Device]

